Image,Label
/data2/lyy/patch/train/1-100/186_8.npy,/data2/lyy/patch/train/Full_dose/186_8.npy
/data2/lyy/patch/train/1-100/13_49.npy,/data2/lyy/patch/train/Full_dose/13_49.npy
/data2/lyy/patch/train/1-100/130_30.npy,/data2/lyy/patch/train/Full_dose/130_30.npy
/data2/lyy/patch/train/1-100/156_48.npy,/data2/lyy/patch/train/Full_dose/156_48.npy
/data2/lyy/patch/train/1-100/149_31.npy,/data2/lyy/patch/train/Full_dose/149_31.npy
/data2/lyy/patch/train/1-100/100_36.npy,/data2/lyy/patch/train/Full_dose/100_36.npy
/data2/lyy/patch/train/1-100/189_14.npy,/data2/lyy/patch/train/Full_dose/189_14.npy
/data2/lyy/patch/train/1-100/209_23.npy,/data2/lyy/patch/train/Full_dose/209_23.npy
/data2/lyy/patch/train/1-100/63_21.npy,/data2/lyy/patch/train/Full_dose/63_21.npy
/data2/lyy/patch/train/1-100/110_7.npy,/data2/lyy/patch/train/Full_dose/110_7.npy
/data2/lyy/patch/train/1-100/296_24.npy,/data2/lyy/patch/train/Full_dose/296_24.npy
/data2/lyy/patch/train/1-100/211_29.npy,/data2/lyy/patch/train/Full_dose/211_29.npy
/data2/lyy/patch/train/1-100/23_38.npy,/data2/lyy/patch/train/Full_dose/23_38.npy
/data2/lyy/patch/train/1-100/33_20.npy,/data2/lyy/patch/train/Full_dose/33_20.npy
/data2/lyy/patch/train/1-100/150_52.npy,/data2/lyy/patch/train/Full_dose/150_52.npy
/data2/lyy/patch/train/1-100/99_39.npy,/data2/lyy/patch/train/Full_dose/99_39.npy
/data2/lyy/patch/train/1-100/188_16.npy,/data2/lyy/patch/train/Full_dose/188_16.npy
/data2/lyy/patch/train/1-100/192_8.npy,/data2/lyy/patch/train/Full_dose/192_8.npy
/data2/lyy/patch/train/1-100/0_14.npy,/data2/lyy/patch/train/Full_dose/0_14.npy
/data2/lyy/patch/train/1-100/218_45.npy,/data2/lyy/patch/train/Full_dose/218_45.npy
/data2/lyy/patch/train/1-100/260_9.npy,/data2/lyy/patch/train/Full_dose/260_9.npy
/data2/lyy/patch/train/1-100/100_52.npy,/data2/lyy/patch/train/Full_dose/100_52.npy
/data2/lyy/patch/train/1-100/132_43.npy,/data2/lyy/patch/train/Full_dose/132_43.npy
/data2/lyy/patch/train/1-100/84_21.npy,/data2/lyy/patch/train/Full_dose/84_21.npy
/data2/lyy/patch/train/1-100/185_16.npy,/data2/lyy/patch/train/Full_dose/185_16.npy
/data2/lyy/patch/train/1-100/91_26.npy,/data2/lyy/patch/train/Full_dose/91_26.npy
/data2/lyy/patch/train/1-100/177_41.npy,/data2/lyy/patch/train/Full_dose/177_41.npy
/data2/lyy/patch/train/1-100/195_11.npy,/data2/lyy/patch/train/Full_dose/195_11.npy
/data2/lyy/patch/train/1-100/50_39.npy,/data2/lyy/patch/train/Full_dose/50_39.npy
/data2/lyy/patch/train/1-100/297_1.npy,/data2/lyy/patch/train/Full_dose/297_1.npy
/data2/lyy/patch/train/1-100/194_28.npy,/data2/lyy/patch/train/Full_dose/194_28.npy
/data2/lyy/patch/train/1-100/66_42.npy,/data2/lyy/patch/train/Full_dose/66_42.npy
/data2/lyy/patch/train/1-100/232_27.npy,/data2/lyy/patch/train/Full_dose/232_27.npy
/data2/lyy/patch/train/1-100/263_37.npy,/data2/lyy/patch/train/Full_dose/263_37.npy
/data2/lyy/patch/train/1-100/286_6.npy,/data2/lyy/patch/train/Full_dose/286_6.npy
/data2/lyy/patch/train/1-100/123_26.npy,/data2/lyy/patch/train/Full_dose/123_26.npy
/data2/lyy/patch/train/1-100/214_50.npy,/data2/lyy/patch/train/Full_dose/214_50.npy
/data2/lyy/patch/train/1-100/235_49.npy,/data2/lyy/patch/train/Full_dose/235_49.npy
/data2/lyy/patch/train/1-100/127_7.npy,/data2/lyy/patch/train/Full_dose/127_7.npy
/data2/lyy/patch/train/1-100/166_2.npy,/data2/lyy/patch/train/Full_dose/166_2.npy
/data2/lyy/patch/train/1-100/89_54.npy,/data2/lyy/patch/train/Full_dose/89_54.npy
/data2/lyy/patch/train/1-100/100_35.npy,/data2/lyy/patch/train/Full_dose/100_35.npy
/data2/lyy/patch/train/1-100/220_19.npy,/data2/lyy/patch/train/Full_dose/220_19.npy
/data2/lyy/patch/train/1-100/211_17.npy,/data2/lyy/patch/train/Full_dose/211_17.npy
/data2/lyy/patch/train/1-100/35_26.npy,/data2/lyy/patch/train/Full_dose/35_26.npy
/data2/lyy/patch/train/1-100/87_12.npy,/data2/lyy/patch/train/Full_dose/87_12.npy
/data2/lyy/patch/train/1-100/158_15.npy,/data2/lyy/patch/train/Full_dose/158_15.npy
/data2/lyy/patch/train/1-100/42_17.npy,/data2/lyy/patch/train/Full_dose/42_17.npy
/data2/lyy/patch/train/1-100/44_27.npy,/data2/lyy/patch/train/Full_dose/44_27.npy
/data2/lyy/patch/train/1-100/234_26.npy,/data2/lyy/patch/train/Full_dose/234_26.npy
/data2/lyy/patch/train/1-100/72_36.npy,/data2/lyy/patch/train/Full_dose/72_36.npy
/data2/lyy/patch/train/1-100/65_35.npy,/data2/lyy/patch/train/Full_dose/65_35.npy
/data2/lyy/patch/train/1-100/65_14.npy,/data2/lyy/patch/train/Full_dose/65_14.npy
/data2/lyy/patch/train/1-100/288_8.npy,/data2/lyy/patch/train/Full_dose/288_8.npy
/data2/lyy/patch/train/1-100/39_39.npy,/data2/lyy/patch/train/Full_dose/39_39.npy
/data2/lyy/patch/train/1-100/253_49.npy,/data2/lyy/patch/train/Full_dose/253_49.npy
/data2/lyy/patch/train/1-100/286_37.npy,/data2/lyy/patch/train/Full_dose/286_37.npy
/data2/lyy/patch/train/1-100/78_38.npy,/data2/lyy/patch/train/Full_dose/78_38.npy
/data2/lyy/patch/train/1-100/4_2.npy,/data2/lyy/patch/train/Full_dose/4_2.npy
/data2/lyy/patch/train/1-100/275_51.npy,/data2/lyy/patch/train/Full_dose/275_51.npy
/data2/lyy/patch/train/1-100/192_40.npy,/data2/lyy/patch/train/Full_dose/192_40.npy
/data2/lyy/patch/train/1-100/210_45.npy,/data2/lyy/patch/train/Full_dose/210_45.npy
/data2/lyy/patch/train/1-100/192_47.npy,/data2/lyy/patch/train/Full_dose/192_47.npy
/data2/lyy/patch/train/1-100/8_3.npy,/data2/lyy/patch/train/Full_dose/8_3.npy
/data2/lyy/patch/train/1-100/132_17.npy,/data2/lyy/patch/train/Full_dose/132_17.npy
/data2/lyy/patch/train/1-100/187_5.npy,/data2/lyy/patch/train/Full_dose/187_5.npy
/data2/lyy/patch/train/1-100/29_35.npy,/data2/lyy/patch/train/Full_dose/29_35.npy
/data2/lyy/patch/train/1-100/213_33.npy,/data2/lyy/patch/train/Full_dose/213_33.npy
/data2/lyy/patch/train/1-100/240_37.npy,/data2/lyy/patch/train/Full_dose/240_37.npy
/data2/lyy/patch/train/1-100/51_34.npy,/data2/lyy/patch/train/Full_dose/51_34.npy
/data2/lyy/patch/train/1-100/205_14.npy,/data2/lyy/patch/train/Full_dose/205_14.npy
/data2/lyy/patch/train/1-100/149_13.npy,/data2/lyy/patch/train/Full_dose/149_13.npy
/data2/lyy/patch/train/1-100/97_37.npy,/data2/lyy/patch/train/Full_dose/97_37.npy
/data2/lyy/patch/train/1-100/94_46.npy,/data2/lyy/patch/train/Full_dose/94_46.npy
/data2/lyy/patch/train/1-100/10_4.npy,/data2/lyy/patch/train/Full_dose/10_4.npy
/data2/lyy/patch/train/1-100/124_47.npy,/data2/lyy/patch/train/Full_dose/124_47.npy
/data2/lyy/patch/train/1-100/10_39.npy,/data2/lyy/patch/train/Full_dose/10_39.npy
/data2/lyy/patch/train/1-100/36_3.npy,/data2/lyy/patch/train/Full_dose/36_3.npy
/data2/lyy/patch/train/1-100/9_3.npy,/data2/lyy/patch/train/Full_dose/9_3.npy
/data2/lyy/patch/train/1-100/266_39.npy,/data2/lyy/patch/train/Full_dose/266_39.npy
/data2/lyy/patch/train/1-100/178_54.npy,/data2/lyy/patch/train/Full_dose/178_54.npy
/data2/lyy/patch/train/1-100/25_50.npy,/data2/lyy/patch/train/Full_dose/25_50.npy
/data2/lyy/patch/train/1-100/146_47.npy,/data2/lyy/patch/train/Full_dose/146_47.npy
/data2/lyy/patch/train/1-100/199_20.npy,/data2/lyy/patch/train/Full_dose/199_20.npy
/data2/lyy/patch/train/1-100/68_6.npy,/data2/lyy/patch/train/Full_dose/68_6.npy
/data2/lyy/patch/train/1-100/17_18.npy,/data2/lyy/patch/train/Full_dose/17_18.npy
/data2/lyy/patch/train/1-100/192_38.npy,/data2/lyy/patch/train/Full_dose/192_38.npy
/data2/lyy/patch/train/1-100/144_34.npy,/data2/lyy/patch/train/Full_dose/144_34.npy
/data2/lyy/patch/train/1-100/6_38.npy,/data2/lyy/patch/train/Full_dose/6_38.npy
/data2/lyy/patch/train/1-100/169_33.npy,/data2/lyy/patch/train/Full_dose/169_33.npy
/data2/lyy/patch/train/1-100/240_51.npy,/data2/lyy/patch/train/Full_dose/240_51.npy
/data2/lyy/patch/train/1-100/148_4.npy,/data2/lyy/patch/train/Full_dose/148_4.npy
/data2/lyy/patch/train/1-100/80_50.npy,/data2/lyy/patch/train/Full_dose/80_50.npy
/data2/lyy/patch/train/1-100/294_13.npy,/data2/lyy/patch/train/Full_dose/294_13.npy
/data2/lyy/patch/train/1-100/231_1.npy,/data2/lyy/patch/train/Full_dose/231_1.npy
/data2/lyy/patch/train/1-100/122_17.npy,/data2/lyy/patch/train/Full_dose/122_17.npy
/data2/lyy/patch/train/1-100/181_49.npy,/data2/lyy/patch/train/Full_dose/181_49.npy
/data2/lyy/patch/train/1-100/266_33.npy,/data2/lyy/patch/train/Full_dose/266_33.npy
/data2/lyy/patch/train/1-100/14_38.npy,/data2/lyy/patch/train/Full_dose/14_38.npy
/data2/lyy/patch/train/1-100/215_25.npy,/data2/lyy/patch/train/Full_dose/215_25.npy
/data2/lyy/patch/train/1-100/189_28.npy,/data2/lyy/patch/train/Full_dose/189_28.npy
/data2/lyy/patch/train/1-100/209_22.npy,/data2/lyy/patch/train/Full_dose/209_22.npy
/data2/lyy/patch/train/1-100/180_42.npy,/data2/lyy/patch/train/Full_dose/180_42.npy
/data2/lyy/patch/train/1-100/244_49.npy,/data2/lyy/patch/train/Full_dose/244_49.npy
/data2/lyy/patch/train/1-100/155_28.npy,/data2/lyy/patch/train/Full_dose/155_28.npy
/data2/lyy/patch/train/1-100/48_39.npy,/data2/lyy/patch/train/Full_dose/48_39.npy
/data2/lyy/patch/train/1-100/135_47.npy,/data2/lyy/patch/train/Full_dose/135_47.npy
/data2/lyy/patch/train/1-100/274_38.npy,/data2/lyy/patch/train/Full_dose/274_38.npy
/data2/lyy/patch/train/1-100/23_46.npy,/data2/lyy/patch/train/Full_dose/23_46.npy
/data2/lyy/patch/train/1-100/145_36.npy,/data2/lyy/patch/train/Full_dose/145_36.npy
/data2/lyy/patch/train/1-100/261_45.npy,/data2/lyy/patch/train/Full_dose/261_45.npy
/data2/lyy/patch/train/1-100/69_4.npy,/data2/lyy/patch/train/Full_dose/69_4.npy
/data2/lyy/patch/train/1-100/43_45.npy,/data2/lyy/patch/train/Full_dose/43_45.npy
/data2/lyy/patch/train/1-100/226_20.npy,/data2/lyy/patch/train/Full_dose/226_20.npy
/data2/lyy/patch/train/1-100/291_5.npy,/data2/lyy/patch/train/Full_dose/291_5.npy
/data2/lyy/patch/train/1-100/275_9.npy,/data2/lyy/patch/train/Full_dose/275_9.npy
/data2/lyy/patch/train/1-100/251_26.npy,/data2/lyy/patch/train/Full_dose/251_26.npy
/data2/lyy/patch/train/1-100/192_41.npy,/data2/lyy/patch/train/Full_dose/192_41.npy
/data2/lyy/patch/train/1-100/113_20.npy,/data2/lyy/patch/train/Full_dose/113_20.npy
/data2/lyy/patch/train/1-100/70_23.npy,/data2/lyy/patch/train/Full_dose/70_23.npy
/data2/lyy/patch/train/1-100/20_24.npy,/data2/lyy/patch/train/Full_dose/20_24.npy
/data2/lyy/patch/train/1-100/62_15.npy,/data2/lyy/patch/train/Full_dose/62_15.npy
/data2/lyy/patch/train/1-100/29_20.npy,/data2/lyy/patch/train/Full_dose/29_20.npy
/data2/lyy/patch/train/1-100/279_21.npy,/data2/lyy/patch/train/Full_dose/279_21.npy
/data2/lyy/patch/train/1-100/98_10.npy,/data2/lyy/patch/train/Full_dose/98_10.npy
/data2/lyy/patch/train/1-100/94_40.npy,/data2/lyy/patch/train/Full_dose/94_40.npy
/data2/lyy/patch/train/1-100/128_51.npy,/data2/lyy/patch/train/Full_dose/128_51.npy
/data2/lyy/patch/train/1-100/191_49.npy,/data2/lyy/patch/train/Full_dose/191_49.npy
/data2/lyy/patch/train/1-100/87_6.npy,/data2/lyy/patch/train/Full_dose/87_6.npy
/data2/lyy/patch/train/1-100/141_15.npy,/data2/lyy/patch/train/Full_dose/141_15.npy
/data2/lyy/patch/train/1-100/190_36.npy,/data2/lyy/patch/train/Full_dose/190_36.npy
/data2/lyy/patch/train/1-100/207_54.npy,/data2/lyy/patch/train/Full_dose/207_54.npy
/data2/lyy/patch/train/1-100/5_40.npy,/data2/lyy/patch/train/Full_dose/5_40.npy
/data2/lyy/patch/train/1-100/243_1.npy,/data2/lyy/patch/train/Full_dose/243_1.npy
/data2/lyy/patch/train/1-100/191_47.npy,/data2/lyy/patch/train/Full_dose/191_47.npy
/data2/lyy/patch/train/1-100/283_36.npy,/data2/lyy/patch/train/Full_dose/283_36.npy
/data2/lyy/patch/train/1-100/42_43.npy,/data2/lyy/patch/train/Full_dose/42_43.npy
/data2/lyy/patch/train/1-100/275_53.npy,/data2/lyy/patch/train/Full_dose/275_53.npy
/data2/lyy/patch/train/1-100/149_10.npy,/data2/lyy/patch/train/Full_dose/149_10.npy
/data2/lyy/patch/train/1-100/289_46.npy,/data2/lyy/patch/train/Full_dose/289_46.npy
/data2/lyy/patch/train/1-100/295_31.npy,/data2/lyy/patch/train/Full_dose/295_31.npy
/data2/lyy/patch/train/1-100/174_8.npy,/data2/lyy/patch/train/Full_dose/174_8.npy
/data2/lyy/patch/train/1-100/266_19.npy,/data2/lyy/patch/train/Full_dose/266_19.npy
/data2/lyy/patch/train/1-100/206_17.npy,/data2/lyy/patch/train/Full_dose/206_17.npy
/data2/lyy/patch/train/1-100/156_8.npy,/data2/lyy/patch/train/Full_dose/156_8.npy
/data2/lyy/patch/train/1-100/219_50.npy,/data2/lyy/patch/train/Full_dose/219_50.npy
/data2/lyy/patch/train/1-100/291_37.npy,/data2/lyy/patch/train/Full_dose/291_37.npy
